Type,subType,stock_number,flavType,item_name,description,rmcPerLitre,bottleSize,rmcPerBottle,addRaw,costBottle
Product,CBD,CP51025M06,Fruit,Apple - 1000mg,CBD with fresh and crisp green apple with sweet-tart undertones,£26.46,60,1.587820434,£0.40,£1.98
Product,CBD,CP51025M26,Fruit,Apple - 2000mg,CBD with fresh and crisp green apple with sweet-tart undertones,£48.55,60,2.912767434,£0.40,£3.31
Product,CBD,CP51025D06,Fruit,Apple - 500mg,CBD with fresh and crisp green apple with sweet-tart undertones,£15.42,60,0.925267434,£0.40,£1.32
Product,CBD,CP51385M06,Ice,Blue Dreams - 1000mg,CBD with a strong hit of dark berry and candy berry fruits with a blast of cold menthol and aniseed.,£29.80,60,1.787980095,£0.40,£2.18
Product,CBD,CP51385M26,Ice,Blue Dreams - 2000mg,CBD with a strong hit of dark berry and candy berry fruits with a blast of cold menthol and aniseed.,£51.88,60,3.112927095,£0.40,£3.51
Product,CBD,CP51385D06,Ice,Blue Dreams - 500mg,CBD with a strong hit of dark berry and candy berry fruits with a blast of cold menthol and aniseed.,£18.76,60,1.125427095,£0.40,£1.52
Product,CBD,CP51060M06,Fruit,Forest Fruits - 1000mg,CBD with sweet and tangy berries with the fresh bite of green apples.,£25.94,60,1.55643027,£0.40,£1.95
Product,CBD,CP51060M26,Fruit,Forest Fruits - 2000mg,CBD with sweet and tangy berries with the fresh bite of green apples.,£48.02,60,2.88137727,£0.40,£3.28
Product,CBD,CP51060D06,Fruit,Forest Fruits - 500mg,CBD with sweet and tangy berries with the fresh bite of green apples.,£14.90,60,0.89387727,£0.40,£1.29
Product,CBD,CP51373M06,Fruit,Grandaddy Purple - 1000mg,CBD with sweet and juicy black grape with a touch of fizz,£24.54,60,1.47259236,£0.40,£1.87
Product,CBD,CP51373M26,Fruit,Grandaddy Purple - 2000mg,CBD with sweet and juicy black grape with a touch of fizz,£46.63,60,2.79753936,£0.40,£3.19
Product,CBD,CP51373D06,Fruit,Grandaddy Purple - 500mg,CBD with sweet and juicy black grape with a touch of fizz,£13.50,60,0.81003936,£0.40,£1.21
Product,CBD,CP51384M06,Dessert,Lemon Haze - 1000mg,CBD with tangy lemon curd with a flaky biscuit crust finished with a rich vanilla cream,£29.51,60,1.770623243,£0.40,£2.17
Product,CBD,CP51384M26,Dessert,Lemon Haze - 2000mg,CBD with tangy lemon curd with a flaky biscuit crust finished with a rich vanilla cream,£51.59,60,3.095570243,£0.40,£3.49
Product,CBD,CP51384D06,Dessert,Lemon Haze - 500mg,CBD with tangy lemon curd with a flaky biscuit crust finished with a rich vanilla cream,£18.47,60,1.108070243,£0.40,£1.50
Product,CBD,CP51383M06,Fruit,Mango Kush - 1000mg,CBD with ripe and super juicy mango with a smooth tropical finish.,£37.22,60,2.23346988,£0.40,£2.63
Product,CBD,CP51383M26,Fruit,Mango Kush - 2000mg,CBD with ripe and super juicy mango with a smooth tropical finish.,£59.31,60,3.55841688,£0.40,£3.95
Product,CBD,CP51383D06,Fruit,Mango Kush - 500mg,CBD with ripe and super juicy mango with a smooth tropical finish.,£26.18,60,1.57091688,£0.40,£1.97
Product,CBD,CP51059M06,Mint,Menthol - 1000mg,"CBD with clean, simple and cold no fuss menthol.",£24.69,60,1.481301255,£0.40,£1.88
Product,CBD,CP51059M26,Mint,Menthol - 2000mg,"CBD with clean, simple and cold no fuss menthol.",£46.77,60,2.806248255,£0.40,£3.20
Product,CBD,CP51059D06,Mint,Menthol - 500mg,"CBD with clean, simple and cold no fuss menthol.",£13.65,60,0.818748255,£0.40,£1.21
Product,CBD,CP51372M06,Fruit,Raspberry Moonshine - 1000mg,"CBD with Sweet, tangy and ripe raspberry, with a fruity sweet exhale",£24.51,60,1.47078276,£0.40,£1.87
